TYPE (g - grad/u - undergrad/b - both),school,years,url
u,uniwisconsin,18-19,https://guide.wisc.edu/pdf/2018-2019-fall-courses.pdf
u,valpo,16-17,http://www.valpo.edu/registrar/files/2016/10/ucat16.pdf
g,valpo,16-17,http://www.valpo.edu/registrar/files/2016/10/gcat16-1.pdf
u,valpo,17-18,http://www.valpo.edu/registrar/files/2017/06/ucat17.pdf
g,valpo,17-18,http://www.valpo.edu/registrar/files/2017/07/gcat17.pdf
u,valpo,18-19,http://www.valpo.edu/registrar/files/2018/05/ucat18-3.pdf
g,valpo,18-19,http://www.valpo.edu/registrar/files/2018/06/gcat18.pdf
u,valpo,19-20,http://www.valpo.edu/registrar/files/2019/08/ucat1920.pdf
g,valpo,19-20,http://www.valpo.edu/registrar/files/2019/08/gcat19.pdf
u,vanderbilt,16-17,https://registrar.vanderbilt.edu/documents/2016_2017_UGAD.pdf
g,vanderbilt,16-17,https://registrar.vanderbilt.edu/documents/2016_2017_graduate.pdf
u,vanderbilt,17-18,https://registrar.vanderbilt.edu/documents/2017_2018_UGAD.pdf
g,vanderbilt,17-18,https://registrar.vanderbilt.edu/documents/2017_2018_graduate.pdf
u,vanderbilt,18-19,https://registrar.vanderbilt.edu/documents/UGAD_2018-2019.pdf
g,vanderbilt,18-19,https://registrar.vanderbilt.edu/documents/graduate_2018-2019.pdf
u,vanderbilt,19-20,https://www.vanderbilt.edu/catalogs/documents/UGAD.pdf
g,vanderbilt,19-20,https://www.vanderbilt.edu/catalogs/documents/graduate.pdf
u,virginiatech,16-17,https://www.undergradcatalog.registrar.vt.edu/2016-17%20Undergraduate%20Catalog.pdf
u,virginiatech,17-18,https://www.undergradcatalog.registrar.vt.edu/2017-18%20Undergraduate%20Catalog.pdf
u,virginiatech,18-19,https://www.undergradcatalog.registrar.vt.edu/2018-19%20Undergraduate%20Catalog.pdf
u,wakeforest,16-17,http://static.wfu.edu/files/pdf/academics/ugb2016-2017.pdf
u,wakeforest,17-18,http://prod.wp.cdn.aws.wfu.edu/sites/251/2016/10/ugb2017-2018.pdf
u,wakeforest,18-19,https://bulletin.wfu.edu/pdf/2018-2019.pdf
u,wakeforest,19-20,https://bulletin.wfu.edu/pdf/2019-2020.pdf
